封面,名称,类型,排名,话数,放送时间,导演,声优,脚本,评分,评分人数
https://lain.bgm.tv/pic/cover/s/fa/1d/25833_kZIjD.jpg,剧场版 魔法少女小圆 [前篇] 起始的物语,剧场版,316,1,2012年10月6日,宮本幸裕,悠木碧、斎藤千和、喜多村英梨、水橋かおり、野中藍、加藤英美里、新谷良子、後藤邑子、岩永哲哉,"['MagicaQuartet', '岸田隆宏、谷口淳一郎']",7.9,2960
https://lain.bgm.tv/pic/cover/s/9e/6b/14220_2nlgN.jpg,少年同盟,TV,317,13,2011年10月3日,神戸守,内山昂輝、森優子、大内茜、木村良平、小野友樹、内山夕実、豊永利行、日野まり、入野自由、平田真菜、佐藤美由希、鳥海浩輔、梶裕貴、中島沙樹,"['堀田きいち（掲載月刊「Gファンタジー」スクウェア・エニックス刊）', '音地正行']",7.9,2548
https://lain.bgm.tv/pic/cover/s/79/bb/91205_WzBkF.jpg,高分少女,TV,318,12,2018年7月13日,山川吉樹,天﨑滉平、鈴代紗弓、広瀬ゆうき、赤﨑千夏、興津和幸、山下大輝、伊藤静、チョー、新井里美,"['押切蓮介（掲載月刊「ビッグガンガン」スクウェア・エニックス刊）', '桑波田満（SMDE）']",7.9,2865
https://lain.bgm.tv/pic/cover/s/17/d8/2921_jteVJ.jpg,相聚一刻,TV,319,96,1986年3月26日,やまざきかずお（第1話-第26話）→安濃高志（第27話-第52話）→吉永尚之（第53話-第96話）,島本須美、二又一成、神谷明、冨永みーな、渕崎ゆり子、三田ゆう子、千葉繁、青木和代、坂本千夏,"['高橋留美子', 'もりやまゆうじ（第1話-第26話）→高田明美（第27話-第96話）']",8.0,268
https://lain.bgm.tv/pic/cover/s/bd/85/4216_qvJdp.jpg,圣母在上 第3季,OVA,320,5,2006年11月29日,ユキヒロマツシタ(福島宏之),植田佳奈、伊藤美紀、能登麻美子、清水香里、伊藤静、池澤春菜、釘宮理恵、小清水亜美、市来光弘,"['今野緒雪', '松島晃']",7.9,539
https://lain.bgm.tv/pic/cover/s/03/3c/67217_Jdg2z.jpg,银魂剧场版 完结篇 万事屋永不落,剧场版,321,1,2013年7月6日,空知英秋,杉田智和、釘宮理恵、阪口大助、ゆきのさつき、中井和哉、太田哲治、島田敏、南央美、甲斐田裕子,[],7.9,2285
https://lain.bgm.tv/pic/cover/s/ca/48/214265_uHAIG.jpg,少女☆歌剧 Revue Starlight,TV,322,12,2018年7月12日,古川知宏,小山百代、三森すずこ、富田麻帆、佐藤日向、岩田陽葵、小泉萌香、相羽あいな、伊藤彩沙、生田輝,"['ブシロード／ネルケプランニング／KINEMACITRUS', '齊田博之']",7.9,5712
https://lain.bgm.tv/pic/cover/s/3a/7f/233926_V09ek.jpg,续·终物语,剧场版,323,6,2018年11月10日,新房昭之,神谷浩史、斎藤千和、加藤英美里、沢城みゆき、花澤香菜、堀江由衣、堀江由衣、坂本真綾、喜多村英梨,"['西尾維新（『続・終物語』講談社BOX）', '渡辺明夫']",7.9,1842
https://lain.bgm.tv/pic/cover/s/a5/c2/209925_jg62r.jpg,寻梦环游记,剧场版,324,1,2017年11月22日,LeeUnkrich,Anthony Gonzalez、石橋陽彩,[],7.9,2300
https://lain.bgm.tv/pic/cover/s/b3/b4/1981_ac8mU.jpg,蓝宝石之谜,TV,325,39,1990年4月13日,樋口真嗣（第23-39話）,鷹森淑乃、日髙のり子、水谷優子、桜井敏治、大塚明夫、滝沢久美子、井上喜久子、堀内賢雄、桜井敏治,[],7.9,1087
https://lain.bgm.tv/pic/cover/s/8a/0e/697_7hDJH.jpg,THE BIG-O,TV,326,26,1999年10月13日,片山一良,宮本充、矢島晶子、清川元夢、玄田哲章、篠原恵美、田村ゆかり,"['矢立肇、片山一良', 'さとうけいいち']",7.9,547
https://lain.bgm.tv/pic/cover/s/72/98/6390_Dr5S5.jpg,游戏王－怪兽之决斗,TV,327,224,2000年4月18日,杉島邦久,風間俊介、近藤孝行、高橋広樹、齊藤真紀、風間俊介、津田健次郎、矢澤喜代美、岩永哲哉、津田健次郎、緒乃冬華、中尾友紀,['高橋和希'],7.9,1782
https://lain.bgm.tv/pic/cover/s/81/e7/812_511mm.jpg,剧场版 空之境界 第二章 杀人考察（前）,剧场版,328,1,2007年12月29日,野中卓也,坂本真綾、鈴村健一、本田貴子、中田譲治、東地宏樹、明石香織、保村真、高橋研二、杉崎亮,"['奈須きのこ', '須藤友徳']",7.9,5746
https://lain.bgm.tv/pic/cover/s/e3/14/88433_5Jl4M.jpg,寄生兽 生命的准则,TV,329,24,2014年10月8日,清水健一,島﨑信長、平野綾、Rinka、花澤香菜、沢城みゆき、田中敦子、前田玲奈、芹澤優、安野希世乃、鈴木琢磨,"['岩明均（講談社「アフタヌーン」所載）', '平松禎史、副：小丸敏之']",7.9,6656
https://lain.bgm.tv/pic/cover/s/d7/c1/8484_K4VAE.jpg,机动警察,TV,330,47,1989-10-11,吉永尚之,冨永みーな、大林隆介、古川登志夫、池水通洋、井上瑤、二又一成、榊原良子、郷里大輔、阪脩,['ヘッドギア'],7.9,692
https://lain.bgm.tv/pic/cover/s/c3/2d/979_6uZ0j.jpg,黑礁,TV,331,12,2006年4月8日,片渕須直,浪川大輔、豊口めぐみ、磯部勉、平田広明、小山茉美、森川智之、佐々木優子、富沢美智恵,"['広江礼威（小学館刊『月刊サンデージェネックス』連載）', '筱雅律']",7.9,3661
https://lain.bgm.tv/pic/cover/s/0e/9d/3304_JvL9C.jpg,神枪少女,TV,332,13,2003年10月8日,浅香守生,南里侑香、仙台エリ、三橋加奈子、小清水亜美、寺門仁美、横山智佐、能登麻美子,['相田裕'],7.9,1565
https://lain.bgm.tv/pic/cover/s/b5/50/115661_f2yzy.jpg,鲁邦三世,TV,333,26,2015年8月30日,横堀久雄,栗田貫一、小林清志、沢城みゆき、山寺宏一、浪川大輔、藤井ゆきよ、咲野俊介、山野井仁,[],7.9,587
https://lain.bgm.tv/pic/cover/s/2e/e5/35679_BudFn.jpg,魔法少女奈叶 The MOVIE 2nd A’s,剧场版,334,1,2012年7月14日,草川啓造,田村ゆかり、水樹奈々、植田佳奈、清水香里、真田アサミ、柚木涼香、一条和矢、久川綾、高橋美佳子,"['都築真紀', '奥田泰弘']",7.9,1154
https://lain.bgm.tv/pic/cover/s/a4/ef/252655_8X396.jpg,佐贺偶像是传奇,TV,335,12,2018年10月4日,広報広聴課ゾンビ係,宮野真守、本渡楓、田野アサミ、種田梨沙、河瀬茉希、衣川里佳、田中美海、三石琴乃、吉野裕行,[],7.9,6489
https://lain.bgm.tv/pic/cover/s/f8/45/64172_8MujB.jpg,偶像大师 剧场版 向着光辉的彼岸！,剧场版,336,1,2014年1月25日,錦織敦史,中村繪里子、長谷川明子、今井麻美、仁後真耶子、浅倉杏美、平田宏美、下田麻美、下田麻美、釘宮理恵,"['バンダイナムコゲームス', '錦織敦史、（百万人物）鈴木大']",7.9,1691
https://lain.bgm.tv/pic/cover/s/60/dc/4475_ZATYj.jpg,银魂剧场版 新译红樱篇,剧场版,337,1,2010年4月24日,高松信司,杉田智和、矢口アサミ、釘宮理恵、阪口大助、子安武人、高橋美佳子、高松信司、石田彰、杉本ゆう、青山穣,"['空知英秋', '竹内進二']",7.9,2766
